profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source,option_list_values,record_type_machine_name,field_machine_name
core_7-2-0,Object,Title language,Object Identification Information,Title,string,n,n,y,vocabulary: languages,"",collectionobject,titleLanguage
core_7-2-0,Object,Title type,Object Identification Information,Title,string,n,n,y,option list: titleTypes,"assigned-by-artist, collection, generic, popular, series, trade",collectionobject,titleType
core_7-2-0,Object,Title translation,Object Identification Information,Title > Title translation,string,n,n,y,"","",collectionobject,titleTranslation
core_7-2-0,Object,Title translation language,Object Identification Information,Title > Title translation,string,n,n,y,vocabulary: languages,"",collectionobject,titleTranslationLanguage
core_7-2-0,Object,Object name,Object Identification Information,Object name,string,n,n,y,"","",collectionobject,objectName
core_7-2-0,Object,Object name controlled,Object Identification Information,Object name,string,n,n,y,authority: concept/nomenclature,"",collectionobject,objectNameControlled
core_7-2-0,Object,Object name currency,Object Identification Information,Object name,string,n,n,y,option list: nameCurrencies,"archaic, current",collectionobject,objectNameCurrency
core_7-2-0,Object,Object name level,Object Identification Information,Object name,string,n,n,y,option list: nameLevels,"group, subgroup",collectionobject,objectNameLevel
core_7-2-0,Object,Object name system,Object Identification Information,Object name,string,n,n,y,option list: nameSystems,"art-and-architecture-thesaurus, nomenclature",collectionobject,objectNameSystem
core_7-2-0,Object,Object name type,Object Identification Information,Object name,string,n,n,y,option list: nameTypes,"classified, denomination, simple, taxonomic, typological",collectionobject,objectNameType
core_7-2-0,Object,Object name language,Object Identification Information,Object name,string,n,n,y,vocabulary: languages,"",collectionobject,objectNameLanguage
core_7-2-0,Object,Object name note,Object Identification Information,Object name,string,n,n,y,"","",collectionobject,objectNameNote
core_7-2-0,Object,Copy number,Object Description Information,"",string,n,n,n/a,"","",collectionobject,copyNumber
core_7-2-0,Object,Object status,Object Description Information,"",string,n,y,n,option list: objectStatuses,"copy, forgery, holotype, paralectotype, paratype, type",collectionobject,objectStatus
core_7-2-0,Object,Sex,Object Description Information,"",string,n,n,n/a,option list: sexes,"female, male",collectionobject,sex
core_7-2-0,Object,Phase,Object Description Information,"",string,n,n,n/a,option list: phases,"adult, imago, larva, nymph, pupa",collectionobject,phase
core_7-2-0,Object,Form,Object Description Information,"",string,n,y,n,option list: forms,"dry, pinned, thin-section, wet",collectionobject,form
core_7-2-0,Object,Edition number,Object Description Information,"",string,n,n,n/a,"","",collectionobject,editionNumber
core_7-2-0,Object,Age qualifier,Object Description Information,Age,string,n,n,n/a,vocabulary: agequalifier,"",collectionobject,ageQualifier
core_7-2-0,Object,Age value,Object Description Information,Age,integer,n,n,n/a,"","",collectionobject,age
core_7-2-0,Object,Age unit,Object Description Information,Age,string,n,n,n/a,option list: ageUnits,"days, months, weeks, years",collectionobject,ageUnit
core_7-2-0,Object,Style,Object Description Information,"",string,n,y,n,"","",collectionobject,style
core_7-2-0,Object,Color,Object Description Information,"",string,n,y,n,"","",collectionobject,color
core_7-2-0,Object,Apparel size,Object Description Information,"",string,n,y,n,vocabulary: apparelsizes,"",collectionobject,apparelSize
core_7-2-0,Object,Material,Object Description Information,Material,string,n,n,y,"","",collectionobject,material
core_7-2-0,Object,Material controlled,Object Description Information,Material,string,n,n,y,authority: concept/material,"",collectionobject,materialControlled
core_7-2-0,Object,Material component,Object Description Information,Material,string,n,n,y,"","",collectionobject,materialComponent
core_7-2-0,Object,Material component note,Object Description Information,Material,string,n,n,y,"","",collectionobject,materialComponentNote
core_7-2-0,Object,Material name,Object Description Information,Material,string,n,n,y,"","",collectionobject,materialName
core_7-2-0,Object,Material source,Object Description Information,Material,string,n,n,y,"","",collectionobject,materialSource
core_7-2-0,Object,Physical description,Object Description Information,"",string,n,n,n/a,"","",collectionobject,physicalDescription
core_7-2-0,Object,Object component name,Object Description Information,Object component,string,n,n,y,option list: objectComponentNames,"blade, buttonhole, handle, sleeve",collectionobject,objectComponentName
core_7-2-0,Object,Object component information,Object Description Information,Object component,string,n,n,y,"","",collectionobject,objectComponentInformation
core_7-2-0,Object,Technical attribute,Object Description Information,Technical attribute,string,n,n,y,option list: technicalAttributes,"magnetic-tape-type, record-speed",collectionobject,technicalAttribute
core_7-2-0,Object,Technical attribute measurement,Object Description Information,Technical attribute,string,n,n,y,option list: technicalAttributeMeasurements,"78, metal",collectionobject,technicalAttributeMeasurement
core_7-2-0,Object,Technical attribute measurement unit,Object Description Information,Technical attribute,string,n,n,y,option list: technicalAttributeMeasurementUnits,rpm,collectionobject,technicalAttributeMeasurementUnit
core_7-2-0,Object,Measured part,Object Description Information,Dimensions,string,n,n,y,option list: measuredParts,"base, frame, framed, image-size, mount, paper-size, plate-size, unframed",collectionobject,measuredPart
core_7-2-0,Object,Dimension summary,Object Description Information,Dimensions,string,n,n,y,"","",collectionobject,dimensionSummary
core_7-2-0,Object,Measurement dimension,Object Description Information,Dimensions > Measurement,string,n,n,y,option list: dimensions,"area, base, circumference, count, depth, diameter, height, intended duration, length, running-time, screen resolution, target, volume, weight, width",collectionobject,dimension
core_7-2-0,Object,Measured by,Object Description Information,Dimensions > Measurement,string,n,n,y,authority: person/local; authority: organization/local,"",collectionobject,measuredBy
core_7-2-0,Object,Measurement method,Object Description Information,Dimensions > Measurement,string,n,n,y,option list: measurementMethods,"balance_beam_scale, electronic_distance_measurement, goniometer, hydraulic_or_pneumatic_scale, measuring_tape_cloth, measuring_tape_metal, microscopy_reticule, odometer, optical_range_finder, osteometric_board, pacing_pedometer, protractor, ruler, sliding_calipers, spreading_calipers, spring_scale, stadia_transit, standard_mesh_screen, taping_chaining, theodolite_total_station",collectionobject,measurementMethod
core_7-2-0,Object,Measurement value,Object Description Information,Dimensions > Measurement,float,n,n,y,"","",collectionobject,value
core_7-2-0,Object,Measurement unit,Object Description Information,Dimensions > Measurement,string,n,n,y,option list: measurementUnits,"carats, centimeters, cubic-centimeters, dpi, feet, hours, inches, kilograms, liters, meters, millimeters, milliseconds, minutes, ounces, pixels, pounds, ppi, seconds, square-feet, stories, tons",collectionobject,measurementUnit
core_7-2-0,Object,Measurement qualifier,Object Description Information,Dimensions > Measurement,string,n,n,y,"","",collectionobject,valueQualifier
core_7-2-0,Object,Measurement date,Object Description Information,Dimensions > Measurement,date,n,n,y,"","",collectionobject,valueDate
core_7-2-0,Object,Dimension note,Object Description Information,Dimensions,string,n,n,y,"","",collectionobject,measuredPartNote
core_7-2-0,Object,Content description,Object Description Information,Content,string,n,n,n/a,"","",collectionobject,contentDescription
core_7-2-0,Object,Content language,Object Description Information,Content,string,n,y,n,vocabulary: languages,"",collectionobject,contentLanguage
core_7-2-0,Object,Content activity,Object Description Information,Content,string,n,y,n,"","",collectionobject,contentActivity
core_7-2-0,Object,Content concept,Object Description Information,Content,string,n,y,n,authority: concept/associated; authority: concept/material,"",collectionobject,contentConcept
core_7-2-0,Object,Content date,Object Description Information,Content,structured date group,n,n,n/a,"","",collectionobject,contentDateGroup
core_7-2-0,Object,Content position,Object Description Information,Content,string,n,y,n,option list: positions,"back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso",collectionobject,contentPosition
core_7-2-0,Object,Content object name,Object Description Information,Content > Content object,string,n,n,y,"","",collectionobject,contentObject
core_7-2-0,Object,Content object type,Object Description Information,Content > Content object,string,n,n,y,option list: contentObjectTypes,"food, furniture",collectionobject,contentObjectType
core_7-2-0,Object,Content people,Object Description Information,Content,string,n,y,n,"","",collectionobject,contentPeople
core_7-2-0,Object,Content person,Object Description Information,Content,string,n,y,n,authority: person/local; authority: person/ulan,"",collectionobject,contentPerson
core_7-2-0,Object,Content place,Object Description Information,Content,string,n,y,n,"","",collectionobject,contentPlace
core_7-2-0,Object,Content script,Object Description Information,Content,string,n,y,n,option list: scripts,"carolingian-miniscule, gothic-script, palmer-method, roman-cursive, rustic-capitals, spencerian-method, square-capitals",collectionobject,contentScript
core_7-2-0,Object,Content organization,Object Description Information,Content,string,n,y,n,authority: organization/local; authority: organization/ulan,"",collectionobject,contentOrganization
core_7-2-0,Object,Content event name,Object Description Information,Content > Content event,string,n,n,y,"","",collectionobject,contentEventName
core_7-2-0,Object,Content event type,Object Description Information,Content > Content event,string,n,n,y,"","",collectionobject,contentEventNameType
core_7-2-0,Object,Content controlled event or period/era,Object Description Information,Content,string,n,y,n,authority: chronology/event; authority: chronology/era,"",collectionobject,contentEvent
core_7-2-0,Object,Content other name,Object Description Information,Content > Content other,string,n,n,y,"","",collectionobject,contentOther
core_7-2-0,Object,Content other type,Object Description Information,Content > Content other,string,n,n,y,"","",collectionobject,contentOtherType
core_7-2-0,Object,Content note,Object Description Information,Content,string,n,n,n/a,"","",collectionobject,contentNote
core_7-2-0,Object,Textual inscription content,Object Description Information,Textual Inscription > Textual inscription,string,n,n,y,"","",collectionobject,inscriptionContent
core_7-2-0,Object,Textual inscription inscriber,Object Description Information,Textual Inscription > Textual inscription,string,n,n,y,authority: person/local; authority: organization/local,"",collectionobject,inscriptionContentInscriber
core_7-2-0,Object,Textual inscription language,Object Description Information,Textual Inscription > Textual inscription,string,n,n,y,vocabulary: languages,"",collectionobject,inscriptionContentLanguage
core_7-2-0,Object,Textual inscription date,Object Description Information,Textual Inscription > Textual inscription,structured date group,n,n,y,"","",collectionobject,inscriptionContentDateGroup
core_7-2-0,Object,Textual inscription position,Object Description Information,Textual Inscription > Textual inscription,string,n,n,y,option list: positions,"back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso",collectionobject,inscriptionContentPosition
core_7-2-0,Object,Textual inscription script,Object Description Information,Textual Inscription > Textual inscription,string,n,n,y,option list: scripts,"carolingian-miniscule, gothic-script, palmer-method, roman-cursive, rustic-capitals, spencerian-method, square-capitals",collectionobject,inscriptionContentScript
core_7-2-0,Object,Textual inscription type,Object Description Information,Textual Inscription > Textual inscription,string,n,n,y,option list: inscriptionTypes,"brand, credits, decoration, estate-stamp, graffiti, label, maker's-mark, plaque, signage",collectionobject,inscriptionContentType
core_7-2-0,Object,Textual inscription method,Object Description Information,Textual Inscription > Textual inscription,string,n,n,y,"","",collectionobject,inscriptionContentMethod
core_7-2-0,Object,Textual inscription interpretation,Object Description Information,Textual Inscription > Textual inscription,string,n,n,y,"","",collectionobject,inscriptionContentInterpretation
core_7-2-0,Object,Textual inscription translation,Object Description Information,Textual Inscription > Textual inscription,string,n,n,y,"","",collectionobject,inscriptionContentTranslation
core_7-2-0,Object,Textual inscription transliteration,Object Description Information,Textual Inscription > Textual inscription,string,n,n,y,"","",collectionobject,inscriptionContentTransliteration
core_7-2-0,Object,Non-textual inscription description,Object Description Information,Non-Textual Inscription > Non-textual inscription,string,n,n,y,"","",collectionobject,inscriptionDescription
core_7-2-0,Object,Non-textual inscription inscriber,Object Description Information,Non-Textual Inscription > Non-textual inscription,string,n,n,y,authority: person/local; authority: organization/local,"",collectionobject,inscriptionDescriptionInscriber
core_7-2-0,Object,Non-textual inscription date,Object Description Information,Non-Textual Inscription > Non-textual inscription,structured date group,n,n,y,"","",collectionobject,inscriptionDescriptionDateGroup
core_7-2-0,Object,Non-textual inscription position,Object Description Information,Non-Textual Inscription > Non-textual inscription,string,n,n,y,option list: positions,"back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso",collectionobject,inscriptionDescriptionPosition
core_7-2-0,Object,Non-textual inscription type,Object Description Information,Non-Textual Inscription > Non-textual inscription,string,n,n,y,option list: inscriptionTypes,"brand, credits, decoration, estate-stamp, graffiti, label, maker's-mark, plaque, signage",collectionobject,inscriptionDescriptionType
core_7-2-0,Object,Non-textual inscription method,Object Description Information,Non-Textual Inscription > Non-textual inscription,string,n,n,y,"","",collectionobject,inscriptionDescriptionMethod
core_7-2-0,Object,Non-textual inscription interpretation,Object Description Information,Non-Textual Inscription > Non-textual inscription,string,n,n,y,"","",collectionobject,inscriptionDescriptionInterpretation
core_7-2-0,Object,Production date,Object Production Information,"",structured date group,n,y,n,"","",collectionobject,objectProductionDateGroup
core_7-2-0,Object,Production era,Object Production Information,"",string,n,y,n,authority: chronology/era,"",collectionobject,objectProductionEra
core_7-2-0,Object,Production technique,Object Production Information,Production technique,string,n,n,y,"","",collectionobject,technique
core_7-2-0,Object,Production technique type,Object Production Information,Production technique,string,n,n,y,"","",collectionobject,techniqueType
core_7-2-0,Object,Production place,Object Production Information,Production place,string,n,n,y,"","",collectionobject,objectProductionPlace
core_7-2-0,Object,Production place role,Object Production Information,Production place,string,n,n,y,"","",collectionobject,objectProductionPlaceRole
core_7-2-0,Object,Production reason,Object Production Information,"",string,n,y,n,"","",collectionobject,objectProductionReason
core_7-2-0,Object,Production people,Object Production Information,Production people,string,n,n,y,"","",collectionobject,objectProductionPeople
core_7-2-0,Object,Production people role,Object Production Information,Production people,string,n,n,y,"","",collectionobject,objectProductionPeopleRole
core_7-2-0,Object,Production person,Object Production Information,Production person,string,n,n,y,authority: person/local,"",collectionobject,objectProductionPerson
core_7-2-0,Object,Production person role,Object Production Information,Production person,string,n,n,y,"","",collectionobject,objectProductionPersonRole
core_7-2-0,Object,Production organization,Object Production Information,Production organization,string,n,n,y,authority: organization/local,"",collectionobject,objectProductionOrganization
core_7-2-0,Object,Production organization role,Object Production Information,Production organization,string,n,n,y,"","",collectionobject,objectProductionOrganizationRole
core_7-2-0,Object,Production note,Object Production Information,"",string,n,n,n/a,"","",collectionobject,objectProductionNote
core_7-2-0,Object,Associated activity,Object History and Association Information,Associations > Associated activity,string,n,n,y,"","",collectionobject,assocActivity
core_7-2-0,Object,Associated activity type,Object History and Association Information,Associations > Associated activity,string,n,n,y,"","",collectionobject,assocActivityType
core_7-2-0,Object,Associated activity note,Object History and Association Information,Associations > Associated activity,string,n,n,y,"","",collectionobject,assocActivityNote
core_7-2-0,Object,Associated object,Object History and Association Information,Associations > Associated object,string,n,n,y,"","",collectionobject,assocObject
core_7-2-0,Object,Associated object type,Object History and Association Information,Associations > Associated object,string,n,n,y,"","",collectionobject,assocObjectType
core_7-2-0,Object,Associated object note,Object History and Association Information,Associations > Associated object,string,n,n,y,"","",collectionobject,assocObjectNote
core_7-2-0,Object,Associated concept,Object History and Association Information,Associations > Associated concept,string,n,n,y,authority: concept/associated,"",collectionobject,assocConcept
core_7-2-0,Object,Associated concept type,Object History and Association Information,Associations > Associated concept,string,n,n,y,"","",collectionobject,assocConceptType
core_7-2-0,Object,Associated concept note,Object History and Association Information,Associations > Associated concept,string,n,n,y,"","",collectionobject,assocConceptNote
